query_filename,query_item_id,K,Recall,NDCG,mAP
img_MEN_Denim_id_00000826_04_7_additional.jpg,id_00000826,10,1.0,0.9055596987675978,0.2157407407407407
img_MEN_Denim_id_00000826_04_7_additional.jpg,id_00000826,15,1.0,0.768607559847009,0.13992673992673993
img_MEN_Denim_id_00000867_01_3_back.jpg,id_00000867,5,0.0,0.0,0.0
img_MEN_Denim_id_00000867_01_3_back.jpg,id_00000867,10,1.0,0.3333333333333333,0.14285714285714285
img_MEN_Denim_id_00000867_01_3_back.jpg,id_00000867,15,1.0,0.31546487678572877,0.125
img_MEN_Denim_id_00000867_01_6_flat.jpg,id_00000867,5,0.0,0.0,0.0
img_MEN_Denim_id_00000867_01_6_flat.jpg,id_00000867,10,1.0,0.3010299956639812,0.1111111111111111
img_MEN_Denim_id_00000867_01_6_flat.jpg,id_00000867,15,1.0,0.27894294565112987,0.09090909090909091
img_MEN_Denim_id_00000867_01_7_additional.jpg,id_00000867,5,1.0,0.43067655807339306,0.25
img_MEN_Denim_id_00000867_01_7_additional.jpg,id_00000867,10,1.0,0.31546487678572877,0.125
img_MEN_Denim_id_00000867_01_7_additional.jpg,id_00000867,15,1.0,0.27894294565112987,0.09090909090909091
img_MEN_Denim_id_00000938_02_2_side.jpg,id_00000938,5,0.0,0.0,0.0
img_MEN_Denim_id_00000938_02_2_side.jpg,id_00000938,10,0.0,0.0,0.0
img_MEN_Denim_id_00000938_02_2_side.jpg,id_00000938,15,0.0,0.0,0.0
img_MEN_Denim_id_00000938_02_3_back.jpg,id_00000938,5,0.0,0.0,0.0
img_MEN_Denim_id_00000938_02_3_back.jpg,id_00000938,10,0.0,0.0,0.0
img_MEN_Denim_id_00000938_02_3_back.jpg,id_00000938,15,0.0,0.0,0.0
img_MEN_Denim_id_00000938_02_7_additional.jpg,id_00000938,5,0.0,0.0,0.0
img_MEN_Denim_id_00000938_02_7_additional.jpg,id_00000938,10,0.0,0.0,0.0
img_MEN_Denim_id_00000938_02_7_additional.jpg,id_00000938,15,0.0,0.0,0.0
img_MEN_Denim_id_00000938_03_2_side.jpg,id_00000938,5,0.0,0.0,0.0
img_MEN_Denim_id_00000938_03_2_side.jpg,id_00000938,10,0.0,0.0,0.0
img_MEN_Denim_id_00000938_03_2_side.jpg,id_00000938,15,0.0,0.0,0.0
img_MEN_Denim_id_00000938_03_7_additional.jpg,id_00000938,5,0.0,0.0,0.0
img_MEN_Denim_id_00000938_03_7_additional.jpg,id_00000938,10,0.0,0.0,0.0
img_MEN_Denim_id_00000938_03_7_additional.jpg,id_00000938,15,0.0,0.0,0.0
img_MEN_Denim_id_00000938_05_4_full.jpg,id_00000938,5,0.0,0.0,0.0
img_MEN_Denim_id_00000938_05_4_full.jpg,id_00000938,10,0.0,0.0,0.0
img_MEN_Denim_id_00000938_05_4_full.jpg,id_00000938,15,0.0,0.0,0.0
img_MEN_Denim_id_00001198_01_2_side.jpg,id_00001198,5,0.0,0.0,0.0
img_MEN_Denim_id_00001198_01_2_side.jpg,id_00001198,10,0.0,0.0,0.0
img_MEN_Denim_id_00001198_01_2_side.jpg,id_00001198,15,1.0,0.27023815442731974,0.08333333333333333
img_MEN_Denim_id_00001198_01_3_back.jpg,id_00001198,5,1.0,0.6309297535714575,0.5
img_MEN_Denim_id_00001198_01_3_back.jpg,id_00001198,10,1.0,0.6309297535714575,0.5
img_MEN_Denim_id_00001198_01_3_back.jpg,id_00001198,15,1.0,0.6309297535714575,0.5
img_MEN_Denim_id_00001198_01_6_flat.jpg,id_00001198,5,1.0,0.5,0.3333333333333333
img_MEN_Denim_id_00001198_01_6_flat.jpg,id_00001198,10,1.0,0.38685280723454163,0.2
img_MEN_Denim_id_00001198_01_6_flat.jpg,id_00001198,15,1.0,0.3010299956639812,0.1111111111111111
img_MEN_Denim_id_00001198_01_7_additional.jpg,id_00001198,5,0.0,0.0,0.0
img_MEN_Denim_id_00001198_01_7_additional.jpg,id_00001198,10,1.0,0.43067655807339306,0.25
img_MEN_Denim_id_00001198_01_7_additional.jpg,id_00001198,15,1.0,0.43067655807339306,0.25
img_MEN_Denim_id_00001198_02_6_flat.jpg,id_00001198,5,0.0,0.0,0.0
img_MEN_Denim_id_00001198_02_6_flat.jpg,id_00001198,10,0.0,0.0,0.0
img_MEN_Denim_id_00001198_02_6_flat.jpg,id_00001198,15,1.0,0.25,0.06666666666666667
img_MEN_Denim_id_00001198_03_3_back.jpg,id_00001198,5,1.0,1.0,1.0
img_MEN_Denim_id_00001198_03_3_back.jpg,id_00001198,10,1.0,1.0,1.0
img_MEN_Denim_id_00001198_03_3_back.jpg,id_00001198,15,1.0,1.0,1.0
img_MEN_Denim_id_00001198_03_7_additional.jpg,id_00001198,5,0.0,0.0,0.0
img_MEN_Denim_id_00001198_03_7_additional.jpg,id_00001198,10,0.0,0.0,0.0
img_MEN_Denim_id_00001198_03_7_additional.jpg,id_00001198,15,0.0,0.0,0.0
img_MEN_Denim_id_00001198_04_1_front.jpg,id_00001198,5,1.0,0.6309297535714575,0.5
img_MEN_Denim_id_00001198_04_1_front.jpg,id_00001198,10,1.0,0.5,0.3333333333333333
img_MEN_Denim_id_00001198_04_1_front.jpg,id_00001198,15,1.0,0.7868837451814152,0.29166666666666663
img_MEN_Denim_id_00001198_04_2_side.jpg,id_00001198,5,0.0,0.0,0.0
img_MEN_Denim_id_00001198_04_2_side.jpg,id_00001198,10,0.0,0.0,0.0
img_MEN_Denim_id_00001198_04_2_side.jpg,id_00001198,15,0.0,0.0,0.0
img_MEN_Denim_id_00001198_04_7_additional.jpg,id_00001198,5,0.0,0.0,0.0
img_MEN_Denim_id_00001198_04_7_additional.jpg,id_00001198,10,1.0,1.0,1.0
img_MEN_Denim_id_00001198_04_7_additional.jpg,id_00001198,15,1.0,1.0,1.0
img_MEN_Denim_id_00001223_01_1_front.jpg,id_00001223,5,1.0,0.38685280723454163,0.2
img_MEN_Denim_id_00001223_01_1_front.jpg,id_00001223,10,1.0,0.3010299956639812,0.1111111111111111
img_MEN_Denim_id_00001223_01_1_front.jpg,id_00001223,15,1.0,0.27023815442731974,0.08333333333333333
img_MEN_Denim_id_00001223_01_3_back.jpg,id_00001223,5,0.0,0.0,0.0
img_MEN_Denim_id_00001223_01_3_back.jpg,id_00001223,10,0.0,0.0,0.0
img_MEN_Denim_id_00001223_01_3_back.jpg,id_00001223,15,0.0,0.0,0.0
img_MEN_Denim_id_00001223_01_6_flat.jpg,id_00001223,5,0.0,0.0,0.0
img_MEN_Denim_id_00001223_01_6_flat.jpg,id_00001223,10,0.0,0.0,0.0
img_MEN_Denim_id_00001223_01_6_flat.jpg,id_00001223,15,0.0,0.0,0.0
img_MEN_Denim_id_00002476_01_3_back.jpg,id_00002476,5,0.0,0.0,0.0
img_MEN_Denim_id_00002476_01_3_back.jpg,id_00002476,10,0.0,0.0,0.0
img_MEN_Denim_id_00002476_01_3_back.jpg,id_00002476,15,0.0,0.0,0.0
img_MEN_Denim_id_00002476_01_7_additional.jpg,id_00002476,5,1.0,1.0,1.0
img_MEN_Denim_id_00002476_01_7_additional.jpg,id_00002476,10,1.0,1.0,1.0
img_MEN_Denim_id_00002476_01_7_additional.jpg,id_00002476,15,1.0,1.0,1.0
img_MEN_Denim_id_00002559_01_1_front.jpg,id_00002559,5,1.0,0.43067655807339306,0.25
img_MEN_Denim_id_00002559_01_1_front.jpg,id_00002559,10,1.0,0.5,0.3333333333333333
img_MEN_Denim_id_00002559_01_1_front.jpg,id_00002559,15,1.0,0.31546487678572877,0.125
img_MEN_Denim_id_00002559_01_3_back.jpg,id_00002559,5,1.0,0.43067655807339306,0.25
img_MEN_Denim_id_00002559_01_3_back.jpg,id_00002559,10,1.0,0.5,0.3333333333333333
img_MEN_Denim_id_00002559_01_3_back.jpg,id_00002559,15,1.0,0.31546487678572877,0.125
img_MEN_Denim_id_00002559_03_1_front.jpg,id_00002559,5,1.0,0.6309297535714575,0.5
img_MEN_Denim_id_00002559_03_1_front.jpg,id_00002559,10,1.0,0.38685280723454163,0.2
img_MEN_Denim_id_00002559_03_1_front.jpg,id_00002559,15,1.0,0.3010299956639812,0.1111111111111111
img_MEN_Denim_id_00002559_03_2_side.jpg,id_00002559,5,0.0,0.0,0.0
img_MEN_Denim_id_00002559_03_2_side.jpg,id_00002559,10,0.0,0.0,0.0
img_MEN_Denim_id_00002559_03_2_side.jpg,id_00002559,15,0.0,0.0,0.0
img_MEN_Denim_id_00002559_03_7_additional.jpg,id_00002559,5,1.0,1.0,1.0
img_MEN_Denim_id_00002559_03_7_additional.jpg,id_00002559,10,1.0,1.0,1.0
img_MEN_Denim_id_00002559_03_7_additional.jpg,id_00002559,15,1.0,1.4306765580733931,0.75
img_MEN_Denim_id_00002578_01_1_front.jpg,id_00002578,5,0.0,0.0,0.0
img_MEN_Denim_id_00002578_01_1_front.jpg,id_00002578,10,0.0,0.0,0.0
img_MEN_Denim_id_00002578_01_1_front.jpg,id_00002578,15,0.0,0.0,0.0
img_MEN_Denim_id_00002578_01_7_additional.jpg,id_00002578,5,0.0,0.0,0.0
img_MEN_Denim_id_00002578_01_7_additional.jpg,id_00002578,10,0.0,0.0,0.0
img_MEN_Denim_id_00002578_01_7_additional.jpg,id_00002578,15,0.0,0.0,0.0
img_MEN_Denim_id_00002760_01_1_front.jpg,id_00002760,5,0.0,0.0,0.0
img_MEN_Denim_id_00002760_01_1_front.jpg,id_00002760,10,0.0,0.0,0.0
img_MEN_Denim_id_00002760_01_1_front.jpg,id_00002760,15,0.0,0.0,0.0
img_MEN_Denim_id_00002760_01_2_side.jpg,id_00002760,5,0.0,0.0,0.0
img_MEN_Denim_id_00002760_01_2_side.jpg,id_00002760,10,0.0,0.0,0.0
img_MEN_Denim_id_00002760_01_2_side.jpg,id_00002760,15,0.0,0.0,0.0
img_MEN_Denim_id_00002760_01_3_back.jpg,id_00002760,5,0.0,0.0,0.0
